model,dataset,exp,avg loss,mse,r2_score,rmse,mae
FCN_linearprobing_and_one_domain,IEEEPPG,0,1592.424745855887,-2.0470921954408046,39.90519697803642,35.82956947714595,1564.5653279622395
FCN_linearprobing_and_one_domain,IEEEPPG,1,1314.4905322148848,-1.5152672690601903,36.255903411925686,32.43443610843292,1296.0257975260417
FCN_linearprobing_and_one_domain,IEEEPPG,2,1217.7659016756234,-1.3301854511657631,34.89650271410623,31.168383625267587,1196.4171346028645
FCN_linearprobing_and_one_domain,IEEEPPG,3,1430.3585473942642,-1.736979802524083,37.8200812716507,33.87944198867022,1401.9446207682292
FCN_linearprobing_and_one_domain,IEEEPPG,4,1703.9445260361351,-2.260484415518287,41.27886294504895,37.140060058421334,1674.896484375
