model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_linearprobing_and_one_domain,Fragment,0,0.17177914110429449,0.057862447529867606,0.04912280701754385,0.17177914110429449,1.6278808116912842
FCN_linearprobing_and_one_domain,Fragment,1,0.19631901840490798,0.06476503699955727,0.054982817869415807,0.19631901840490798,1.6275886694590251
FCN_linearprobing_and_one_domain,Fragment,2,0.13496932515337423,0.1104259287894774,0.07925341071408487,0.13496932515337423,1.6540436347325642
FCN_linearprobing_and_one_domain,Fragment,3,0.18404907975460122,0.11215109036602276,0.13203543316801145,0.18404907975460122,1.7008102337519329
FCN_linearprobing_and_one_domain,Fragment,4,0.2883435582822086,0.18200408997955012,0.09722222222222222,0.2883435582822086,1.6221143007278442
