model,dataset,exp,avg loss,mse,r2_score,rmse,mae
FCN_linearprobing_and_one_domain,IEEEPPG,0,1174.910084025171,-1.2481811819958937,34.276961417622346,30.599530279299632,1156.3207702636719
FCN_linearprobing_and_one_domain,IEEEPPG,1,1169.472548764261,-1.2377765011473505,34.197551794891126,30.504903717903094,1154.0299479166667
FCN_linearprobing_and_one_domain,IEEEPPG,2,1207.5175882996225,-1.3105753843254244,34.74935378247518,31.032934285826602,1201.1719360351562
FCN_linearprobing_and_one_domain,IEEEPPG,3,1030.462841894923,-0.9717825230994814,32.100823071923294,28.574546188957946,1021.9912109375
FCN_linearprobing_and_one_domain,IEEEPPG,4,1368.593160414399,-1.6187922215382242,36.99450175923983,33.13619247264108,1353.4640299479167
