model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_linearprobing_and_one_domain,Fragment,0,1.6309833129247029,0.3067484662576687,0.17633017289459008,0.09414141414141414,0.3067484662576687
FCN_linearprobing_and_one_domain,Fragment,1,1.741381843884786,0.2822085889570552,0.22694637343482246,0.1831310912426608,0.2822085889570552
FCN_linearprobing_and_one_domain,Fragment,2,1.6447909275690715,0.32515337423312884,0.22442814502522992,0.12484543057791465,0.32515337423312884
FCN_linearprobing_and_one_domain,Fragment,3,1.6071622371673584,0.2392638036809816,0.1954357915610741,0.12016067103786403,0.2392638036809816
FCN_linearprobing_and_one_domain,Fragment,4,1.6224424839019775,0.22699386503067484,0.16444201065581046,0.11735320537498395,0.22699386503067484
