model,dataset,exp,acc,f1,recall,precision
MLP,fragment,0,0.39263803680981596,0.35930684857065226,0.39263803680981596,0.36220743954828233
MLP,fragment,1,0.44171779141104295,0.3954936889362562,0.44171779141104295,0.4135938004520504
MLP,fragment,2,0.44785276073619634,0.377486307970759,0.44785276073619634,0.3278976185764233
MLP,fragment,3,0.4294478527607362,0.3839597169760232,0.4294478527607362,0.35410934492950735
MLP,fragment,4,0.39263803680981596,0.3500873208570812,0.39263803680981596,0.3567243166491138
