model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_finetuning_and_one_domain,Fragment,0,0.04294478527607362,0.020293411576420377,0.02782608695652174,0.04294478527607362,3.321923573811849
FCN_finetuning_and_one_domain,Fragment,1,0.17177914110429449,0.07178354770636362,0.0603218941207768,0.17177914110429449,2.1986564000447593
FCN_finetuning_and_one_domain,Fragment,2,0.22085889570552147,0.15312966574636352,0.16157851810025722,0.22085889570552147,1.7835607528686523
FCN_finetuning_and_one_domain,Fragment,3,0.06134969325153374,0.07242003205530435,0.07045652315085395,0.06134969325153374,2.0488474369049072
FCN_finetuning_and_one_domain,Fragment,4,0.20245398773006135,0.13265824695285516,0.15587161253123197,0.20245398773006135,1.9280981222788494
