model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_linearprobing_and_one_domain,Fragment,0,0.3374233128834356,0.22839825559908344,0.13453815261044177,0.3374233128834356,1.5774632692337036
FCN_linearprobing_and_one_domain,Fragment,1,0.32515337423312884,0.16486649961116392,0.08294209702660407,0.32515337423312884,1.5890899499257405
FCN_linearprobing_and_one_domain,Fragment,2,0.3374233128834356,0.18047600125348504,0.09456731613129717,0.3374233128834356,1.5926497379938762
FCN_linearprobing_and_one_domain,Fragment,3,0.3067484662576687,0.23364620292983912,0.13751518306437618,0.3067484662576687,1.5815836191177368
FCN_linearprobing_and_one_domain,Fragment,4,0.34355828220858897,0.2400025869853081,0.14152813443258097,0.34355828220858897,1.5675726334253948
