model,dataset,avg_loss,acc,acc_std,f1,recall,precision
MLP_linearprobing_and_four_domains,Fragment,1.1064381480216983,0.5975460122699386,0.024768870230903517,0.5642128561792084,0.45329979678727694,0.5975460122699386
FCN_linearprobing_and_four_domains,Fragment,1.5927820444107055,0.4588957055214723,0.05476985060286048,0.33220925183042516,0.1997922806474879,0.4588957055214723
MLP_linearprobing_and_one_domain,Fragment,1.4328810135523475,0.45276073619631896,0.006720522177977521,0.39675092786484784,0.2913616557191149,0.45276073619631896
FCN_finetuning_and_four_domains,Fragment,1.6388271808624268,0.40736196319018403,0.04436732449512768,0.2911492160351564,0.1653114108932074,0.40736196319018403
FCN_linearprobing_and_one_domain,Fragment,1.5817436456680296,0.3411042944785276,0.08758192478401436,0.2329085377063202,0.14498917215173807,0.3411042944785276
MLP_finetuning_and_one_domain,Fragment,1.8923451900482178,0.22822085889570548,0.02142852662156194,0.17872641707406198,0.11535688753578832,0.22822085889570548
FCN_finetuning_and_one_domain,Fragment,1.5984752019246418,0.22208588957055211,0.020984823774830737,0.1304603031903883,0.0728255067982777,0.22208588957055211
MLP_finetuning_and_four_domains,Fragment,1.875403944651286,0.1828220858895705,0.02142852662156195,0.14086904174802845,0.1509747542739392,0.1828220858895705
