model,dataset,exp,avg loss,acc,f1,recall,precision
MLP_linearprobing_and_one_domain,Fragment,0,0.5950920245398773,0.5459886926195285,0.4164788767433773,0.5950920245398773,0.8763050635655721
MLP_linearprobing_and_one_domain,Fragment,1,0.6073619631901841,0.5643438840625902,0.44746238008572287,0.6073619631901841,0.8673129876454672
MLP_linearprobing_and_one_domain,Fragment,2,0.5214723926380368,0.49377767749828483,0.36676807291705904,0.5214723926380368,0.9048298597335815
MLP_linearprobing_and_one_domain,Fragment,3,0.6012269938650306,0.5570152551536092,0.44037888463175817,0.6012269938650306,0.8852798144022623
MLP_linearprobing_and_one_domain,Fragment,4,0.6073619631901841,0.5645605827240036,0.4504524668805736,0.6073619631901841,0.8973824381828308
