model,dataset,exp,avg loss,acc,f1,recall,precision
MLP_linearprobing_and_one_domain,Fragment,0,0.4171779141104294,0.4218138749411877,0.31473011670936873,0.4171779141104294,1.8843594789505005
MLP_linearprobing_and_one_domain,Fragment,1,0.37423312883435583,0.39008299724834594,0.28699589351508253,0.37423312883435583,1.9382712841033936
MLP_linearprobing_and_one_domain,Fragment,2,0.4110429447852761,0.419082933071865,0.31208306879362924,0.4110429447852761,1.9460211992263794
MLP_linearprobing_and_one_domain,Fragment,3,0.3619631901840491,0.38455643416071833,0.28863381858902576,0.3619631901840491,2.0073690017064414
MLP_linearprobing_and_one_domain,Fragment,4,0.36809815950920244,0.3834727138954291,0.2837496168963134,0.36809815950920244,1.918310324350993
