model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_linearprobing_and_one_domain,Fragment,0,0.34355828220858897,0.24262461730664633,0.15008388179119886,0.34355828220858897,1.5690962076187134
FCN_linearprobing_and_one_domain,Fragment,1,0.3128834355828221,0.160148867502108,0.08056872037914692,0.3128834355828221,1.6205576658248901
FCN_linearprobing_and_one_domain,Fragment,2,0.34355828220858897,0.2400091129517827,0.1468611847922193,0.34355828220858897,1.5754835208257039
FCN_linearprobing_and_one_domain,Fragment,3,0.3312883435582822,0.1648808345820022,0.08294930875576037,0.3312883435582822,1.61301585038503
FCN_linearprobing_and_one_domain,Fragment,4,0.25766871165644173,0.17315928915333903,0.09670014347202295,0.25766871165644173,1.5986823638280232
