model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_finetuning_and_one_domain,Fragment,0,0.38650306748466257,0.26074296354014603,0.14725811534825087,0.38650306748466257,1.7230770985285442
FCN_finetuning_and_one_domain,Fragment,1,0.11042944785276074,0.07974785208582208,0.04955078841217455,0.11042944785276074,1.6996934413909912
FCN_finetuning_and_one_domain,Fragment,2,0.25766871165644173,0.20428396908751956,0.1383597017639571,0.25766871165644173,1.6756609678268433
FCN_finetuning_and_one_domain,Fragment,3,0.2883435582822086,0.20168325128000816,0.13468153276489145,0.2883435582822086,1.71193532148997
FCN_finetuning_and_one_domain,Fragment,4,0.4049079754601227,0.2655316438191872,0.2135882918491614,0.4049079754601227,1.6972680886586506
