model,dataset,exp,acc,f1,recall,precision
FCN,fragment,0,0.34355828220858897,0.20399804849345599,0.34355828220858897,0.14759598382459216
FCN,fragment,1,0.36809815950920244,0.2386134339337364,0.36809815950920244,0.1777823992235971
FCN,fragment,2,0.3128834355828221,0.23148238264802679,0.3128834355828221,0.2268066964749922
FCN,fragment,3,0.3558282208588957,0.21909608796111862,0.3558282208588957,0.2830088023472926
FCN,fragment,4,0.3558282208588957,0.2237541080513517,0.3558282208588957,0.2757750809786097
