model,dataset,exp,avg loss,mse,r2_score,rmse,mae
MLP_linearprobing_and_four_domains,IEEEPPG,0,539.1088523062239,-0.031580538188903606,23.218717714512657,17.932207721774862,537.1219685872396
MLP_linearprobing_and_four_domains,IEEEPPG,1,542.4120944202353,-0.03790126592906806,23.28974225748828,17.912498581880904,539.2242635091146
MLP_linearprobing_and_four_domains,IEEEPPG,2,537.1342007575676,-0.0278020580200391,23.176155866699887,18.19178791369422,531.8887685139974
MLP_linearprobing_and_four_domains,IEEEPPG,3,536.284596630469,-0.026176347221689822,23.157819341001627,18.108141085522323,532.9158223470052
MLP_linearprobing_and_four_domains,IEEEPPG,4,541.0595401620163,-0.035313164020419396,23.26068657976407,17.834733413437664,540.2471872965494
