model,dataset,exp,avg loss,acc,f1,recall,precision
MLP_linearprobing_and_four_domains,Fragment,0,0.50920245398773,0.502537734036992,0.3704321362259311,0.50920245398773,1.229329526424408
MLP_linearprobing_and_four_domains,Fragment,1,0.5521472392638037,0.5463266094987663,0.4267994018904037,0.5521472392638037,1.0916307767232258
MLP_linearprobing_and_four_domains,Fragment,2,0.49693251533742333,0.4839576824511203,0.34789991224590383,0.49693251533742333,1.1490875879923503
MLP_linearprobing_and_four_domains,Fragment,3,0.5398773006134969,0.5335720055940959,0.41310160148466424,0.5398773006134969,1.1120816866556804
MLP_linearprobing_and_four_domains,Fragment,4,0.5030674846625767,0.4983638766850911,0.3721763740728696,0.5030674846625767,1.128778596719106
