model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_linearprobing_and_one_domain,Fragment,0,1.6398349205652873,0.19631901840490798,0.06476503699955727,0.054982817869415807,0.19631901840490798
FCN_linearprobing_and_one_domain,Fragment,1,1.6452620426813762,0.12883435582822086,0.07976252212609977,0.05283410546568441,0.12883435582822086
FCN_linearprobing_and_one_domain,Fragment,2,1.6160401900609334,0.25766871165644173,0.24407305240190935,0.18968619705946896,0.25766871165644173
FCN_linearprobing_and_one_domain,Fragment,3,1.6177076896031697,0.2147239263803681,0.18277507463037398,0.11906928480204343,0.2147239263803681
FCN_linearprobing_and_one_domain,Fragment,4,1.6052083174387615,0.27607361963190186,0.22862427911831068,0.13756301541510038,0.27607361963190186
