model,dataset,exp,avg loss,mse,r2_score,rmse,mae
FCN_finetuning_and_one_domain,IEEEPPG,0,1508.5870375427435,-1.886669401616837,38.840533435352604,34.87143713740979,1498.3990885416667
FCN_finetuning_and_one_domain,IEEEPPG,1,1890.6359607642057,-2.617717003868827,43.481443867059035,39.298633834063,1878.043965657552
FCN_finetuning_and_one_domain,IEEEPPG,2,1632.3019298262343,-2.123396872549357,40.40175651907023,36.34882928018516,1621.3729248046875
FCN_finetuning_and_one_domain,IEEEPPG,3,1915.141913915837,-2.6646089520029537,43.762334420319,39.57488401596156,1902.309814453125
FCN_finetuning_and_one_domain,IEEEPPG,4,1749.2617907414035,-2.3471986442198323,41.82417710776153,37.70245510036663,1737.4710896809895
