model,dataset,exp,acc,f1,recall,precision
HinceptionTime,fragment,0,0.5337423312883436,0.5131749696166875,0.5337423312883436,0.49890575108527974
HinceptionTime,fragment,1,0.6073619631901841,0.577554891381656,0.6073619631901841,0.5691933893167412
HinceptionTime,fragment,2,0.558282208588957,0.5423469272395653,0.558282208588957,0.5441525388553066
HinceptionTime,fragment,3,0.558282208588957,0.5417291227437532,0.558282208588957,0.5443106136624408
HinceptionTime,fragment,4,0.5828220858895705,0.5588095622066088,0.5828220858895705,0.5504729290104314
