4, 0.5214723926380368, 0.07507386058568954
9, 0.5153374233128835, 0.06503240086815575
14, 0.5153374233128835, 0.05034673247825016
19, 0.5460122699386503, 0.04046273011375557
24, 0.5153374233128835, 0.06266214630820534
29, 0.5337423312883436, 0.036387438462539154
34, 0.5521472392638037, 0.035551898520101204
39, 0.5337423312883436, 0.03578032722527331
44, 0.5276073619631901, 0.03491828285835006
49, 0.5644171779141104, 0.03842203031209382
54, 0.5521472392638037, 0.03183693100105633
59, 0.5214723926380368, 0.027596592395143074
