model,dataset,avg_loss,acc,acc_std,f1,f1_std,recall,recall_std,precision,precision_std
MLP_finetuning_and_one_domain,Fragment,0.6945,0.6934,0.0353,0.6248,0.0468,0.6945,0.0391,1.425,0.3225
MLP_linearprobing_and_one_domain,Fragment,0.6147,0.6187,0.0079,0.5313,0.0091,0.6147,0.0051,1.0602,0.029
FCN_linearprobing_and_one_domain,Fragment,0.227,0.1752,0.0397,0.1406,0.0184,0.227,0.0559,1.6569,0.0362
FCN_finetuning_and_one_domain,Fragment,0.1816,0.1131,0.0932,0.1199,0.0706,0.1816,0.1025,2.2501,0.537
