model,dataset,avg_loss,acc,acc_std,f1,f1_std,recall,recall_std,precision,precision_std
MLP_linearprobing_and_one_domain,Fragment,0.5865,0.5451,0.0297,0.4243,0.0348,0.5865,0.0367,0.8862,0.0152
FCN_linearprobing_and_one_domain,Fragment,0.2405,0.1909,0.018,0.1967,0.0291,0.2405,0.0265,1.6382,0.036
FCN_finetuning_and_one_domain,Fragment,0.1129,0.0533,0.0336,0.0608,0.0279,0.1129,0.0166,1.8558,0.0776
MLP_finetuning_and_one_domain,Fragment,0.1681,0.0519,0.0095,0.0525,0.0101,0.1681,0.0055,9.8187,0.8608
