model,dataset,avg_loss,acc,acc_std,f1,f1_std,recall,recall_std,precision,precision_std
MLP_finetuning_and_one_domain,Fragment,0.6699,0.6782,0.0241,0.6147,0.0366,0.6699,0.0262,1.6432,0.2423
MLP_linearprobing_and_one_domain,Fragment,0.616,0.6201,0.0119,0.5312,0.0156,0.616,0.0093,1.0617,0.0155
MLP_linearprobing_and_four_domains,Fragment,0.5951,0.596,0.0324,0.5244,0.0428,0.5951,0.035,1.0051,0.0542
MLP_finetuning_and_four_domains,Fragment,0.5448,0.5549,0.0324,0.5013,0.029,0.5448,0.0408,2.6308,0.7246
FCN_linearprobing_and_four_domains,Fragment,0.3583,0.2425,0.0874,0.1745,0.1019,0.3583,0.0536,1.6334,0.0274
FCN_linearprobing_and_one_domain,Fragment,0.2834,0.1874,0.0613,0.1155,0.0543,0.2834,0.0696,1.6302,0.0639
FCN_finetuning_and_four_domains,Fragment,0.2196,0.1495,0.0767,0.1431,0.0309,0.2196,0.0653,2.1727,0.1703
FCN_finetuning_and_one_domain,Fragment,0.1399,0.0901,0.0532,0.0952,0.0601,0.1399,0.0822,2.2562,0.615
