model,dataset,avg_loss,acc,acc_std,f1,f1_std,recall,recall_std,precision,precision_std
MLP_linearprobing_and_four_domains,Fragment,0.5362,0.5133,0.014,0.4125,0.0159,0.5362,0.0127,1.1458,0.0162
MLP_linearprobing_and_one_domain,Fragment,0.3558,0.3393,0.0054,0.2517,0.0058,0.3558,0.0043,1.4782,0.019
FCN_linearprobing_and_four_domains,Fragment,0.4282,0.3054,0.0982,0.1855,0.0541,0.4282,0.1202,1.5956,0.0237
FCN_linearprobing_and_one_domain,Fragment,0.3018,0.1781,0.0223,0.1014,0.0158,0.3018,0.0548,1.5885,0.0045
MLP_finetuning_and_four_domains,Fragment,0.1865,0.1029,0.0139,0.1498,0.0203,0.1865,0.0166,6.459,0.8015
MLP_finetuning_and_one_domain,Fragment,0.1767,0.0974,0.0855,0.1122,0.0619,0.1767,0.0666,9.5804,1.3496
FCN_finetuning_and_four_domains,Fragment,0.184,0.0747,0.0112,0.0645,0.0114,0.184,0.0144,1.8286,0.0193
FCN_finetuning_and_one_domain,Fragment,0.108,0.0357,0.0076,0.0553,0.0097,0.108,0.0055,1.8899,0.0345
