model,dataset,avg_loss,acc,acc_std,f1,f1_std,recall,recall_std,precision,precision_std
MLP_linearprobing_and_four_domains,Fragment,1.0597,0.7239,0.015,0.6946,0.0163,0.5671,0.0251,0.7239,0.015
MLP_finetuning_and_one_domain,Fragment,1.0919,0.7166,0.0051,0.6621,0.0107,0.514,0.0194,0.7166,0.0051
MLP_linearprobing_and_one_domain,Fragment,1.077,0.7031,0.0093,0.6451,0.0133,0.4893,0.0201,0.7031,0.0093
MLP_finetuning_and_four_domains,Fragment,1.2116,0.6331,0.0251,0.6007,0.03,0.462,0.034,0.6331,0.0251
FCN_linearprobing_and_four_domains,Fragment,1.6219,0.3239,0.0507,0.2116,0.0672,0.1398,0.0809,0.3239,0.0507
FCN_finetuning_and_one_domain,Fragment,1.5919,0.2798,0.0711,0.1829,0.0433,0.0992,0.0251,0.2798,0.0711
FCN_linearprobing_and_one_domain,Fragment,1.6494,0.2761,0.0423,0.1975,0.028,0.1279,0.0331,0.2761,0.0423
FCN_finetuning_and_four_domains,Fragment,1.6339,0.2368,0.0385,0.1699,0.0448,0.1016,0.0235,0.2368,0.0385
