model,dataset,avg_loss,acc,acc_std,f1,f1_std,recall,recall_std,precision,precision_std
MLP_linearprobing_and_one_domain,Fragment,0.6258,0.5858,0.0193,0.4641,0.0178,0.6258,0.0278,0.8821,0.0235
FCN_finetuning_and_one_domain,Fragment,0.2552,0.142,0.0839,0.0917,0.0368,0.2552,0.135,2.0095,0.1298
FCN_linearprobing_and_one_domain,Fragment,0.1975,0.137,0.0835,0.1272,0.0825,0.1975,0.0925,1.674,0.0291
MLP_finetuning_and_one_domain,Fragment,0.0687,0.0162,0.0077,0.0268,0.0063,0.0687,0.0146,7.9109,1.5705
