model,dataset,avg_loss,acc,acc_std,f1,f1_std,recall,recall_std,precision,precision_std
MLP_linearprobing_and_one_domain,Fragment,0.5055,0.4996,0.003,0.3817,0.0036,0.5055,0.0034,1.215,0.0215
FCN_linearprobing_and_one_domain,Fragment,0.2417,0.206,0.0707,0.1767,0.0654,0.2417,0.0437,1.6114,0.0387
FCN_finetuning_and_one_domain,Fragment,0.1828,0.0849,0.0398,0.0932,0.046,0.1828,0.0482,1.8865,0.0582
MLP_finetuning_and_one_domain,Fragment,0.1656,0.0472,0.0001,0.0475,0.0001,0.1656,0.0,9.7913,1.7634
