model,dataset,exp,acc,f1,recall,precision
HinceptionTime,fragment,0,0.6134969325153374,0.5815681171148512,0.6134969325153374,0.5703206569370879
HinceptionTime,fragment,1,0.588957055214724,0.563109504569238,0.588957055214724,0.5512977989971855
HinceptionTime,fragment,2,0.588957055214724,0.563109504569238,0.588957055214724,0.5512977989971855
HinceptionTime,fragment,3,0.588957055214724,0.563109504569238,0.588957055214724,0.5512977989971855
HinceptionTime,fragment,4,0.588957055214724,0.563109504569238,0.588957055214724,0.5512977989971855
