model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_linearprobing_and_four_domains,Fragment,0,0.25153374233128833,0.15877004952324636,0.10441767068273093,0.25153374233128833,1.6075023015340169
FCN_linearprobing_and_four_domains,Fragment,1,0.4233128834355828,0.30584116533540445,0.1851206607304168,0.4233128834355828,1.6046677827835083
FCN_linearprobing_and_four_domains,Fragment,2,0.4233128834355828,0.29933820007718687,0.17564392428071107,0.4233128834355828,1.6002091964085896
FCN_linearprobing_and_four_domains,Fragment,3,0.3496932515337423,0.20726038143561126,0.1158275402008286,0.3496932515337423,1.6098002195358276
FCN_linearprobing_and_four_domains,Fragment,4,0.43558282208588955,0.30459688913676647,0.18067340067340068,0.43558282208588955,1.5850596030553181
