model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_linearprobing_and_one_domain,Fragment,0,0.3374233128834356,0.2917176724086637,0.21224573856152804,0.3374233128834356,1.5854082902272542
FCN_linearprobing_and_one_domain,Fragment,1,0.1656441717791411,0.12901573753000797,0.09478260869565218,0.1656441717791411,1.6065006653467815
FCN_linearprobing_and_one_domain,Fragment,2,0.2822085889570552,0.17454348980175222,0.09643283836832224,0.2822085889570552,1.601674993832906
FCN_linearprobing_and_one_domain,Fragment,3,0.3006134969325153,0.17352281226626776,0.08972201446023435,0.3006134969325153,1.6145564317703247
FCN_linearprobing_and_one_domain,Fragment,4,0.3312883435582822,0.16797718828307268,0.08450704225352113,0.3312883435582822,1.7429225444793701
