model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_finetuning_and_four_domains,Fragment,0,1.6640897989273071,0.20245398773006135,0.07693233369510429,0.06122008388847767,0.20245398773006135
FCN_finetuning_and_four_domains,Fragment,1,1.7043636639912922,0.12883435582822086,0.09360210341805435,0.059821428571428574,0.12883435582822086
FCN_finetuning_and_four_domains,Fragment,2,1.6163407564163208,0.36809815950920244,0.23767175025303802,0.13960585978374607,0.36809815950920244
FCN_finetuning_and_four_domains,Fragment,3,1.6889236370722454,0.1165644171779141,0.05990540566915405,0.04421468127724756,0.1165644171779141
FCN_finetuning_and_four_domains,Fragment,4,1.6422511339187622,0.34355828220858897,0.19890638065242372,0.1087353416192683,0.34355828220858897
