model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_linearprobing_and_one_domain,Fragment,0,0.3312883435582822,0.1795998764418009,0.09351245578384887,0.3312883435582822,1.574589769045512
FCN_linearprobing_and_one_domain,Fragment,1,0.3312883435582822,0.1648808345820022,0.08294930875576037,0.3312883435582822,1.578189531962077
FCN_linearprobing_and_one_domain,Fragment,2,0.3312883435582822,0.1656441717791411,0.08333333333333333,0.3312883435582822,1.5758506854375203
FCN_linearprobing_and_one_domain,Fragment,3,0.3128834355828221,0.19629463700669575,0.10904123199205167,0.3128834355828221,1.5756940444310505
FCN_linearprobing_and_one_domain,Fragment,4,0.3374233128834356,0.17938137234352075,0.0939146693863675,0.3374233128834356,1.5817205905914307
