model,dataset,exp,avg loss,acc,f1,recall,precision
FCN_finetuning_and_one_domain,Fragment,0,0.03067484662576687,0.007011393514460998,0.015873015873015872,0.03067484662576687,3.5257741610209146
FCN_finetuning_and_one_domain,Fragment,1,0.12883435582822086,0.046098504447236795,0.05667112896028559,0.12883435582822086,2.5747846762339273
FCN_finetuning_and_one_domain,Fragment,2,0.2147239263803681,0.10015981852863844,0.11036414565826332,0.2147239263803681,1.9210175275802612
FCN_finetuning_and_one_domain,Fragment,3,0.24539877300613497,0.17094836409686268,0.17355478368185606,0.24539877300613497,1.5983038743336995
FCN_finetuning_and_one_domain,Fragment,4,0.2085889570552147,0.10047142395866968,0.11473684210526315,0.2085889570552147,1.91210142771403
