model,dataset,exp,avg loss,acc,f1,recall,precision
MLP_linearprobing_and_one_domain,Fragment,0,0.6073619631901841,0.5843886047272774,0.4674855107576483,0.6073619631901841,1.0302034815152485
MLP_linearprobing_and_one_domain,Fragment,1,0.6380368098159509,0.6174966438402494,0.504405723976917,0.6380368098159509,0.9755564332008362
MLP_linearprobing_and_one_domain,Fragment,2,0.6380368098159509,0.616547413382667,0.5048818615891787,0.6380368098159509,1.0189995567003887
MLP_linearprobing_and_one_domain,Fragment,3,0.6073619631901841,0.5902421845032892,0.4768929855065027,0.6073619631901841,1.0054585735003154
MLP_linearprobing_and_one_domain,Fragment,4,0.6441717791411042,0.6237461477539851,0.5145221269939285,0.6441717791411042,1.005741834640503
